role_code;role_label;company_name_official;company_name_normalized;market_partner_id;source_file;source_line_no
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;TX Logistik AG;txlogistikag;1900100300666;vens liste.csv;62
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;IGE GmbH & Co. KG;igegmbhcokg;1900100300674;vens liste.csv;63
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Emons Bahntransporte GmbH;emonsbahntransportegmbh;1900100300690;vens liste.csv;64
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Saarbahn GmbH;saarbahngmbh;1900100300707;vens liste.csv;65
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Abellio Rail Mitteldeutschland GmbH;abelliorailmitteldeutschlandgmbh;1900100300715;vens liste.csv;66
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Abellio Rail GmbH;abelliorailgmbh;1900100300723;vens liste.csv;67
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;TX Logistik Transalpine GmbH;txlogistiktransalpinegmbh;1900100300731;vens liste.csv;68
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Alpha Trains Luxembourg S.á.r.l.;alphatrainsluxembourgsarl;1900100300749;vens liste.csv;69
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Transdev Mitteldeutschland GmbH;transdevmitteldeutschlandgmbh;1900100300822;vens liste.csv;70
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Macquarie European Rail Limited;macquarieeuropeanraillimited;1900100300830;vens liste.csv;71
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Hector Rail AB;hectorrailab;1900100300848;vens liste.csv;72
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Beacon Rail Leasing Limited;beaconrailleasinglimited;1900100300856;vens liste.csv;73
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Transdev Regio GmbH;transdevregiogmbh;1900100300864;vens liste.csv;74
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;ÖBB-Produktion GmbH;oebbproduktiongmbh;1900100300872;vens liste.csv;75
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;LOKOMOTION Gesellschaft für Schienentraktion mbH;lokomotiongesellschaftfuerschienentraktionmbh;1900100300880;vens liste.csv;76
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;RAG Anthrazit Ibbenbüren GmbH;raganthrazitibbenbuerengmbh;1900100300898;vens liste.csv;77
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;SVG Schienenverkehrsgesellschaft mbH;svgschienenverkehrsgesellschaftmbh;1900100300905;vens liste.csv;78
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;RTS Rail Transport Service GmbH;rtsrailtransportservicegmbh;1900100300913;vens liste.csv;79
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;PKP CARGO S. A. w restrukturyzacji;pkpcargosawrestrukturyzacji;1900100300921;vens liste.csv;80
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Train4you Betriebs GmbH;train4youbetriebsgmbh;1900100300939;vens liste.csv;81
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;ŠKODA TRANSPORTATION a.s.;skodatransportationas;1900100300947;vens liste.csv;82
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Vorbereitungsgesellschaft Transporttechnik mbH;vorbereitungsgesellschafttransporttechnikmbh;1900100300963;vens liste.csv;83
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Intermodal Terminal Rzepin Sp. Z o.o.;intermodalterminalrzepinspzoo;1900100300971;vens liste.csv;84
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Railtraxx NV;railtraxxnv;1900100300989;vens liste.csv;85
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Rhenus Rail St. Ingbert GmbH;rhenusrailstingbertgmbh;1900100300997;vens liste.csv;86
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Mindener Kreisbahnen GmbH;mindenerkreisbahnengmbh;1900100301002;vens liste.csv;87
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;UEF Eisenbahn-Verkehrsgesellschaft mbH;uefeisenbahnverkehrsgesellschaftmbh;1900100301010;vens liste.csv;88
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;BTE BahnTouristikExpress GmbH;btebahntouristikexpressgmbh;1900100301028;vens liste.csv;89
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;RailAdventure GmbH;railadventuregmbh;1900100301036;vens liste.csv;90
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Raildox GmbH & Co.KG;raildoxgmbhcokg;1900100301044;vens liste.csv;91
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Erfurter Bahnservice Gesellschaft mbH;erfurterbahnservicegesellschaftmbh;1900100301052;vens liste.csv;92
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;ELV - Eisenbahnlogistik Vienenburg;elveisenbahnlogistikvienenburg;1900100301060;vens liste.csv;93
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Eisenbahngesellschaft Potsdam mbH;eisenbahngesellschaftpotsdammbh;1900100301078;vens liste.csv;94
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;ecco rail GmbH;eccorailgmbh;1900100301086;vens liste.csv;95
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;CER Cargo Traction GmbH;cercargotractiongmbh;1900100301094;vens liste.csv;96
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Schweerbau Logistik GmbH;schweerbaulogistikgmbh;1900100301101;vens liste.csv;97
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Maik Ampft Eisenbahndienstleistungen;maikampfteisenbahndienstleistungen;1900100301127;vens liste.csv;98
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Bayerischer Localbahn Verein e.V.;bayerischerlocalbahnvereinev;1900100301135;vens liste.csv;99
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;LINEAS NV/SA;lineasnvsa;1900100301143;vens liste.csv;100
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Locon Logistik & Consulting AG;loconlogistikconsultingag;1900100301151;vens liste.csv;101
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;IGT - Inbetriebnahme Gesellschaft Transporttechnik GmbH;igtinbetriebnahmegesellschafttransporttechnikgmbh;1900100301169;vens liste.csv;102
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Saar Rail GmbH;saarrailgmbh;1900100301177;vens liste.csv;103
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Thurbo AG;thurboag;1900100301185;vens liste.csv;104
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Vulkan-Eifel-Bahn Betriebsgesellschaft mbH;vulkaneifelbahnbetriebsgesellschaftmbh;1900100301193;vens liste.csv;105
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Nordlandrail GmbH;nordlandrailgmbh;1900100301200;vens liste.csv;106
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Arbeitsgemeinschaft NostalgieZugReisen.de;arbeitsgemeinschaftnostalgiezugreisende;1900100301218;vens liste.csv;107
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;DeltaRail GmbH;deltarailgmbh;1900100301226;vens liste.csv;108
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Georg Verkehrsorganisation GmbH;georgverkehrsorganisationgmbh;1900100301234;vens liste.csv;109
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;IntEgro Verkehr GmbH;integroverkehrgmbh;1900100301242;vens liste.csv;110
