role_code;role_name;official_company_name;mp_id;datalake_company_name;datalake_rics;datalake_relation_number;datalake_country;match_method;match_score;match_status;manual_review;approved_active_flag;alternative_1;alternative_1_score;alternative_2;alternative_2_score;alternative_3;alternative_3_score;manual_comment;source_line_no
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Transchem Spolka z o.o.;1900100300400;METRANS (Polonia) sp. z o. o.;3548;;Poland;PROPOSED_LOW;73.7;REVIEW_REQUIRED;Y;N;TRAINSPEED Sp. z. o.o.;73.2;Sped Trans Polska sp. z o.o.;73.2;TRANSPETROL Sp. z o.o.;71.4;;45
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Verkehrsbetriebe Peine-Salzgitter GmbH;1900100300418;Verkehrsbetriebe Peine-Salzgitter GmbH;3072;;Germany;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;46
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;METRANS Rail s.r.o.;1900100300426;METRANS Rail s.r.o.;3207;510 00372;Czech Republic;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;47
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Captrain Deutschland GmbH;1900100300434;Captrain Deutschland GmbH;5024;;Germany;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;48
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;SBB Cargo AG;1900100300442;SBB Cargo AG;;;Switzerland;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;49
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;TSS Cargo a.s.;1900100300450;TSS Cargo a.s.;3320;;Czech Republic;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;50
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Stauden-Verkehrs-GmbH;1900100300468;Stauden-Verkehrs-GmbH;3596;;Germany;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;51
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;METRANS a.s.;1900100300476;METRANS (CZ Praha) a.s.;3201;;Czech Republic;REVIEW_COSMETIC_MULTIPLE;100.0;REVIEW_REQUIRED;Y;N;METRANS (Danubia SK), a.s.;100.0;;;;;;52
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;SRI Rail Invest GmbH;1900100300484;SRI Rail Invest GmbH;;;Germany;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;53
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Mittelweserbahn GmbH;1900100300567;Mittelweserbahn GmbH;3070;;Germany;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;54
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Akiem Technik Germany GmbH & Co. KG;1900100300575;Lok-Partner GmbH & Co.KG;;;Germany;PROPOSED_LOW;70.0;REVIEW_REQUIRED;Y;N;Lok-Partner GmbH & Co.KG  (Müllensiefernring);70.0;Bayernhafen GmbH &Co. KG;70.0;CC-Logistik GmbH & Co. KG;70.0;;55
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;LEG Leipziger Eisenbahnverkehrsgesellschaft mbH;1900100300583;LEG Leipziger Eisenbahnverkehrsgesellschaft mbH;3140;;Germany;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;56
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Alstom Transport Deutschland GmbH;1900100300591;Bertani Trasporti GmbH Deutschland;;;Germany;PROPOSED_LOW;80.6;REVIEW_REQUIRED;Y;N;Captrain Deutschland GmbH;78.0;METRANS Rail (Deutschland) GmbH;77.4;ALSTOM TRANSPORTE, S.A.U.;76.6;;57
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;National Express Rail GmbH;1900100300608;National Express Rail GmbH;3849;;Germany;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;58
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;HLB Hessenbahn GmbH;1900100300616;HLB Hessenbahn GmbH;5273;;Germany;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;59
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;EVB Elbe-Weser GmbH;1900100300632;EVB Elbe-Weser GmbH;3016;;Germany;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;60
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Regionalbahn Kassel GmbH;1900100300640;Bayerische Regiobahn GmbH;5255;;Germany;PROPOSED_LOW;73.5;REVIEW_REQUIRED;Y;N;Regiobahn RB GmbH;73.2;Deutsche Regionaleisenbahn GmbH;72.7;Hörseltalbahn GmbH;66.7;;61
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;RegioTram Gesellschaft mbH;1900100300658;IGB Industriebahn-Gesellschaft mbH;4154;;Germany;PROPOSED_LOW;76.2;REVIEW_REQUIRED;Y;N;Albtal-Verkehrs-Gesellschaft mbH;76.2;GEVD Gesellschaft für V. mbH;76.2;TTG Tyczka Transport-Gesellschaft mbH;76.2;;62
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;TX Logistik AG;1900100300666;TX Logistik AG;3308;51000026;Germany;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;63
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;IGE GmbH & Co. KG;1900100300674;IFTEC GmbH & Co KG;3844;;Germany;PROPOSED_LOW;89.5;REVIEW_REQUIRED;Y;N;Aretz GmbH & Co. KG;87.5;Raildox GmbH & Co. KG;87.5;Retrack GmbH & Co. KG;87.5;;64
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Emons Bahntransporte GmbH;1900100300690;Emons Bahntransporte GmbH;3528;;Germany;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;65
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Saarbahn GmbH;1900100300707;Saarbahn GmbH;5038;;Germany;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;66
