role_code;source_value_normalized;source_value;official_company_name;market_partner_id;match_method;match_score
ANE_TENS;beaconrailcapitaleuropegmbh;Beacon Rail Capital Europe GmbH;Beacon Rail Capital Europe GmbH;1900100400052;AUTO_EXACT;100.0
ANE_TENS;westfaelischelandeseisenbahngmbh;Westfälische Landes-Eisenbahn GmbH;Westfälische Landes-Eisenbahn GmbH;1900100400151;AUTO_EXACT;100.0
ANE_TENS;saarbahngmbh;Saarbahn GmbH;Saarbahn GmbH;1900100400705;AUTO_EXACT;100.0
ANE_TENS;eisenbahngesellschaftpotsdammbh;Eisenbahngesellschaft Potsdam mbH;Eisenbahngesellschaft Potsdam mbH;1900100401076;AUTO_EXACT;100.0
ANE_TENS;integroverkehrgmbh;IntEgro Verkehr GmbH;IntEgro Verkehr GmbH;1900100401240;AUTO_EXACT;100.0
ANE_TENS;meveisenbahnverkehrsgesellschaftmbh;MEV Eisenbahn-Verkehrsgesellschaft mbH;MEV Eisenbahn-Verkehrsgesellschaft mbH;1900100401456;AUTO_EXACT;100.0
ANE_TENS;eisenbahnbauundbetriebsgesellschaftpressnitztalbahnmbh;Eisenbahn-Bau- und Betriebsgesellschaft Pressnitztalbahn mbH;Eisenbahn-Bau- und Betriebsgesellschaft Pressnitztalbahn mbH;1900100401498;AUTO_EXACT;100.0
ANE_TENS;freightlinerdegmbh;Freightliner DE GmbH;Freightliner DE GmbH;1900100401597;AUTO_EXACT;100.0
ANE_TENS;hafenkrefeldgmbhcokg;Hafen Krefeld GmbH & Co. KG;Hafen Krefeld GmbH & Co. KG;1900100402917;AUTO_EXACT;100.0
ANE_TENS;smartrailtractiongmbh;Smart Rail Traction GmbH;smart rail traction GmbH;1900100403113;AUTO_EXACT;100.0
ANE_TENS;bugvermietungsgesellschaftmbh;BUG Vermietungsgesellschaft mbH;BUG Vermietungsgesellschaft mbH;1900100403288;AUTO_EXACT;100.0
ANE_TENS;duisportrailgmbh;duisport rail GmbH;duisport rail GmbH;1900100403353;AUTO_EXACT;100.0
ANE_TENS;railtractioncompanyspa;RAIL TRACTION COMPANY S.p.A.;Rail Traction Company S.p.A.;1900100403957;AUTO_EXACT;100.0
ANU_VENS;cflcargodeutschlandgmbh;CFL Cargo Deutschland GmbH;CFL Cargo Deutschland GmbH;1900100300129;AUTO_EXACT;100.0
ANU_VENS;hsllogistikgmbh;HSL Logistik GmbH;HSL Logistik GmbH;1900100300327;AUTO_EXACT;100.0
ANU_VENS;tsscargoas;TSS Cargo a.s.;TSS Cargo a.s.;1900100300450;AUTO_EXACT;100.0
ANU_VENS;txlogistikag;TX Logistik AG;TX Logistik AG;1900100300666;AUTO_EXACT;100.0
ANU_VENS;alphatrainsluxembourgsrl;Alpha Trains Luxembourg S.à r.l.;Alpha Trains Luxembourg S.á.r.l.;1900100300749;AUTO_EXACT;100.0
ANU_VENS;retrackgermanygmbh;Retrack Germany Gmbh;Retrack Germany GmbH;1900100301565;AUTO_EXACT;100.0
ANU_VENS;ltedeltegermanygmbh;LTE DE - LTE Germany GmbH;LTE Germany GmbH;1900100302456;AUTO_EXACT;100.0
ANU_VENS;flexbahndienstleistungengmbh;Flex Bahndienstleistungen GmbH;Flex Bahndienstleistungen GmbH;1900100302498;AUTO_EXACT;100.0
ANU_VENS;dbinfragoag;DB InfraGO AG;DB InfraGO AG;1900100302505;AUTO_EXACT;100.0
ANU_VENS;viasrailgmbh;VIAS Rail GmbH;VIAS Rail GmbH;1900100303107;AUTO_EXACT;100.0
ANU_VENS;railseatractiongmbh;Rail & Sea Traction GmbH;Rail&Sea Traction GmbH;1900100303678;AUTO_EXACT;100.0
ANU_VENS;kswkreisbahnsiegenwittgensteingmbh;KSW Kreisbahn Siegen-Wittgenstein GmbH;KSW Kreisbahn Siegen-Wittgenstein GmbH;1900100304098;AUTO_EXACT;100.0
ANE_TENS;verkehrsbetriebepeinesalzgittergmbh;Verkehrsbetriebe Peine-Salzgitter GmbH;Verkehrsbetriebe Peine-Salzgitter GmbH;1900100400416;AUTO_EXACT;100.0
ANE_TENS;sbbcargoag;SBB Cargo AG;SBB Cargo AG;1900100400440;AUTO_EXACT;100.0
ANE_TENS;hectorrailabschweden;Hector Rail AB (Schweden);Hector Rail AB;1900100400846;AUTO_COSMETIC;100.0
ANE_TENS;eccorailgmbh;Ecco-rail GmbH;ecco rail GmbH;1900100401084;AUTO_EXACT;100.0
ANE_TENS;bsaseisenbahnverkehrsgmbhcokg;BSAS Eisenbahnverkehrs GmbH & Co. KG;BSAS EisenbahnVerkehrs GmbH & Co. KG;1900100401860;AUTO_EXACT;100.0
