"Um eine möglichst effiziente, automatisierte Verarbeitung der Prozesse zu gewährleisten, wird – soweit möglich – beim elektronischen Datenaustausch eine Identifizierung bestimmter Informationen durch Codes vorgenommen.
Zu diesem Zweck vergibt DB Energie im Auftrag des BDEW die MP-ID/Codenummer für die Anschlussnutzer sowie bei Bedarf den Dienstleistern der Nutzer. Darüber hinaus können Netzbetreiber, Lieferanten und BKV im Rahmen einer Interimslösung eine neben der BDEW-Codenummer zusätzliche MP-ID/Codenummer für die jeweilige Marktrolle bei DB Energie beantragen. Die unten aufgeführten MP-ID gelten ausschließlich im Bahnstromnetz.";
;
ANu-vEns (Nutzer) im Bahnstromnetz;
Unternehmensname;MP-ID/Codenummer im Bahnstromnetz
3-Seenbahn gGmbH;1900100302109
BM Bahndienste GmbH;1900100302125
BBL Logistik GmbH;1900100302133
Fahrzeugwerke Karsdorf GmbH & Co. KG;1900100302141
RBH Logistics GmbH;1900100302167
Train4Train GmbH;1900100302175
Siemens Mobility GmbH;1900100302183
ERC.D GmbH;1900100302191
Arverio Baden-Württemberg GmbH;1900100302208
Zug-Pilot GmbH;1900100302216
AKE-Eisenbahntouristik – Jörg Petry e.K.;1900100302224
STARKENBERGER Güterlogistik GmbH;1900100302232
TrainLog GmbH;1900100302240
Lausitz Energie Bergbau AG;1900100302258
Rennsteigbahn GmbH & Co. KG;1900100302266
smart rail GmbH;1900100302274
vlexx GmbH;1900100302282
Elektrische Zugförderung Württemberg gGmbH;1900100302290
Hupac SA;1900100302307
Transdev Regio Ost GmbH;1900100302315
HELROM GmbH;1900100302323
SLG Spitzke Logistik GmbH;1900100302331
dispo-Tf Rail GmbH;1900100302349
Railexperts B.V.;1900100302357
Stadler Rail Service Deutschland GmbH;1900100302365
Heavy Haul Power International GmbH;1900100302373
railCare AG;1900100302381
Netzwerkbahn Sachsen GmbH;1900100302399
Württembergische Eisenbahn-Gesellschaft mbH;1900100302406
GfF Gesellschaft für Fahrzeugtechnik mbH;1900100302414
Leipziger Dampf KulTour Alexander Schröter;1900100302422
RCM Rail Care and Management GmbH;1900100302430
RegioJet a.s.;1900100302448
LTE Germany GmbH;1900100302456
Centralbahn GmbH;1900100302464
Rolling Stock Lease s.r.o.;1900100302472
KERAM Beteiligungsgesellschaft mbh;1900100302480
Flex Bahndienstleistungen GmbH;1900100302498
DB InfraGO AG;1900100302505
Eisenbahnfreunde Treysa e.V.;1900100302513
ESL GmbH;1900100302521
DB Systemtechnik GmbH;1900100302539
Martin Schlünß Eisenbahnlogistik;1900100302547
Deutsche Bahn Stiftung gGmbH;1900100302555
Lion Rail GmbH;1900100302563
RTB Cargo Netherlands B.V.;1900100302571
Railtrans International a.s.;1900100302589
twentyone GmbH;1900100302597
Diepholzer Kreisbahn EVU GmbH;1900100302604
NBS Niederlausitzer Bahnservice GmbH;1900100302612
DB Fahrwegdienste GmbH;1900100302620
PKP CARGO INTERNATIONAL a.s.;1900100302638
Rail Force One Germany GmbH;1900100302646
DB Fahrzeuginstandhaltung GmbH;1900100302654
Hexafret SAS;1900100302662
Eurasian Railway Carrier SP. z.o.o.;1900100302670
Railsystems RP GmbH;1900100302688
InRail S.p.A;1900100302696
Regio Infra Service Sachsen GmbH;1900100302703
WRS Deutschland GmbH;1900100302711
Gesellschaft der Förderer der Museumseisenbahn Hamm e. V.;1900100302729
International Rolling Stock Investment AG;1900100302737
THI Factory;1900100302745
Förderverein BW Arnstadt/historisch e.V.;1900100302753
Slovenská plavba a prístavy a.s.;1900100302761
BUDAMAR WEST GmbH;1900100302779
Bodensee-Oberschwaben-Bahn GmbH & Co. KG;1900100302787
CARGOUNIT Sp. z o.o.;1900100302795
Transdev Hannover GmbH;1900100302802
Lok-Partner Betriebsgesellschaft mbH & Co. KG;1900100302810
LoConnect GmbH;1900100302828
FOXrail Zrt.;1900100302836
FlixTrain GmbH;1900100302844
FRACHTbahn Traktion GmbH;1900100302852
Stadler Rail Valencia S.A.U.;1900100302860
Verein Depot und Schienenfahrzeuge Koblenz;1900100302878
Rund ums Gleis GmbH;1900100302886
Dampflok-Depot Full;1900100302894
Rail2U B.V.;1900100302901
Hafen Krefeld GmbH & Co. KG;1900100302919
SKL Schienen Komplex Logistik Magdeburg GmbH & Co. KG;1900100302927
Interessengemeinschaft Bw Dresden Altstadt e.V.;1900100302935
Stern & Hafferl Verkehrsgesellschaft m.b.H.;1900100302943
DB RegioNetz Verkehrs GmbH;1900100302951
DB ZugBus Regionalverkehr Alb-Bodensee GmbH;1900100302969
S-Bahn Hamburg GmbH;1900100302977
Arverio Bayern GmbH;1900100302985
Nordic Rail Service GmbH;1900100302993
Saar Mosel Rail GmbH;1900100303008
Weser Ems Eisenbahn GmbH;1900100303016
Eifelbahn Verkehrsgesellschaft mbH;1900100303024
NEB Betriebsgesellschaft mbH;1900100303032
Lokomotion Austria GmbH;1900100303040
NeSA Eisenbahn-Betriebsgesellschaft Neckar-Schwarzwald-Alb mbH;1900100303058
LTE Schweiz GmbH;1900100303066
Rail Bavaria Logistik GmbH;1900100303074
WECO Rail GmbH;1900100303082
Anhaltinisch-Brandenburgische Eisenbahngesellschaft mbH;1900100303090
VIAS Rail GmbH;1900100303107
smart rail traction GmbH;1900100303115
HBC Hanseatisches Bahn Contor GmbH;1900100303123
CD Cargo a.s.;1900100303131
Tenforty2-Rail GmbH;1900100303149
IG Traditionslok 58 3047 e.V.;1900100303157
RBP - Rheinische Bahnpersonal- und Verkehrsgesellschaft mbH;1900100303165
DB Bahnbau Gruppe GmbH;1900100303173
RSE Rhein-Sieg-Eisenbahn GmbH;1900100303181
Medway Italia S.R.L.;1900100303199
SPL EisenbahnVerkehr GmbH;1900100303206
Eiffage Infra-Rail GmbH;1900100303214
UTL Umwelt- und Transportlogistik AG;1900100303222
nordbahn Verkehrsgesellschaft Ost-West mbH;1900100303230
nordbahn Verkehrsgesellschaft Nord mbH;1900100303248
erixx-Holstein GmbH;1900100303256
Holsteinische Eisenbahngesellschaft für historischen Verkehr gGmbH;1900100303264
CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A.;1900100303272
BUG Vermietungsgesellschaft mbH;1900100303280
Rail&Sea Logistics GmbH;1900100303298
Dortmunder Eisenbahn GmbH;1900100303305
Stadler Deutschland GmbH;1900100303313
Retrack Czech s.r.o.;1900100303321
Passauer Eisenbahnfreunde e.V.;1900100303339
Train Charter Services B.V.;1900100303347
duisport rail GmbH;1900100303355
LWC Lappwaldbahn Cargo GmbH;1900100303363
LOKORAIL, a.s.;1900100303371
MZ Eisenbahndienstleistungen GmbH;1900100303389
RTB CARGO GmbH;1900100303397
Raaberbahn Cargo GmbH;1900100303404
DSB Dänische Staatsbahn;1900100303412
DPB Rail Infra Service GmbH;1900100303420
Rhomberg Sersa Rail GmbH;1900100303438
EH Güterverkehr GmbH;1900100303446
ORLEN Unipetrol Doprava s.r.o.;1900100303454
LEONHARD WEISS GmbH & Co. KG;1900100303462
KonRail GmbH;1900100303470
InterTourex GmbH;1900100303488
European Loc Pool AG;1900100303496
Medway Belgium NV;1900100303503
Ceské dráhy, a.s.;1900100303511
Vossloh Rolling Stock GmbH;1900100303529
Hansebahn Bremen GmbH;1900100303537
Bahnbetrieb Gera GmbH;1900100303545
STRABAG Rail Fahrleitungen GmbH;1900100303553
Wagenmeister + Logistik Dienstleistungs Nord GmbH;1900100303561
PCC Intermodal GmbH;1900100303579
SGL - Schienen Güter Logistik GmbH;1900100303587
Bahn PT GmbH;1900100303595
Lokdienste Braun GmbH;1900100303602
Bahnbetriebswerk Glauchau GmbH;1900100303610
Museumsbahn e.V.;1900100303628
