source_system;source_field;source_value;role_code;official_company_name;market_partner_id;active_flag;match_method;match_score;manual_review;comment
RailCube/DataLake;Company name;Abellio Rail Mitteldeutschland GmbH;ANU_VENS;Abellio Rail Mitteldeutschland GmbH;1900100300715;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Abellio Rail NRW GmbH;ANU_VENS;Abellio Rail GmbH;1900100300723;N;PROPOSED_LOW;100.0;Y;
RailCube/DataLake;Company name;TX Logistik Austria GmbH;ANU_VENS;TX Logistik Transalpine GmbH;1900100300731;N;PROPOSED_LOW;80.0;Y;
RailCube/DataLake;Company name;Alpha Trains Luxembourg S.à r.l.;ANU_VENS;Alpha Trains Luxembourg S.á.r.l.;1900100300749;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Transdev Mitteldeutschland GmbH;ANU_VENS;Transdev Mitteldeutschland GmbH;1900100300822;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;ERR European Rail Rent GmbH;ANU_VENS;Macquarie European Rail Limited;1900100300830;N;PROPOSED_LOW;74.3;Y;
RailCube/DataLake;Company name;Hector Rail AB (Schweden);ANU_VENS;Hector Rail AB;1900100300848;Y;AUTO_COSMETIC;100.0;N;
RailCube/DataLake;Company name;BEACON RAIL LEASING LIMITED;ANU_VENS;Beacon Rail Leasing Limited;1900100300856;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Transdev GmbH;ANU_VENS;Transdev Regio GmbH;1900100300864;N;PROPOSED_LOW;81.2;Y;
RailCube/DataLake;Company name;ÖBB Produktion;ANU_VENS;ÖBB-Produktion GmbH;1900100300872;N;REVIEW_LEGAL_FORM_VARIANT;99.0;Y;
RailCube/DataLake;Company name;Lokomotion Gesellschaft für Schienentraktion mbH;ANU_VENS;LOKOMOTION Gesellschaft für Schienentraktion mbH;1900100300880;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Go Ahead Bayern GmbH;ANU_VENS;RAG Anthrazit Ibbenbüren GmbH;1900100300898;N;PROPOSED_LOW;61.2;Y;
RailCube/DataLake;Company name;Schienenverkehrsgesellschaft mbH;ANU_VENS;SVG Schienenverkehrsgesellschaft mbH;1900100300905;N;PROPOSED_LOW;100.0;Y;
RailCube/DataLake;Company name;RTS Rail Transport Service GmbH;ANU_VENS;RTS Rail Transport Service GmbH;1900100300913;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;PKP CARGO INTERNATIONAL a.s.;ANU_VENS;PKP CARGO S. A. w restrukturyzacji;1900100300921;N;PROPOSED_LOW;65.0;Y;
RailCube/DataLake;Company name;Train4Train GmbH;ANU_VENS;Train4you Betriebs GmbH;1900100300939;N;PROPOSED_LOW;71.8;Y;
RailCube/DataLake;Company name;Bombardier Transportation GmbH;ANU_VENS;ŠKODA TRANSPORTATION a.s.;1900100300947;N;PROPOSED_MEDIUM;82.4;Y;
RailCube/DataLake;Company name;Vorbereitungsgesellschaft Transporttechnik mbH;ANU_VENS;Vorbereitungsgesellschaft Transporttechnik mbH;1900100300963;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Hupac Intermodal Ltd - Terminal Basel Wolf;ANU_VENS;Intermodal Terminal Rzepin Sp. Z o.o.;1900100300971;N;PROPOSED_MEDIUM;80.9;Y;
RailCube/DataLake;Company name;Railtraxx;ANU_VENS;Railtraxx NV;1900100300989;N;REVIEW_LEGAL_FORM_VARIANT;99.0;Y;
RailCube/DataLake;Company name;Rhenus Rail St. Ingbert GmbH;ANU_VENS;Rhenus Rail St. Ingbert GmbH;1900100300997;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Mindener Kreisbahnen GmbH;ANU_VENS;Mindener Kreisbahnen GmbH;1900100301002;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;UEF Eisenbahn-Verkehrsgesellschaft mbH;ANU_VENS;UEF Eisenbahn-Verkehrsgesellschaft mbH;1900100301010;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;BTE BahnTouristikExpress GmbH;ANU_VENS;BTE BahnTouristikExpress GmbH;1900100301028;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;RailAdventure GmbH;ANU_VENS;RailAdventure GmbH;1900100301036;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Raildox GmbH & Co. KG;ANU_VENS;Raildox GmbH & Co.KG;1900100301044;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;EBS - Erfurter Bahnservice GmbH;ANU_VENS;Erfurter Bahnservice Gesellschaft mbH;1900100301052;N;PROPOSED_LOW;90.9;Y;
RailCube/DataLake;Company name;Eisenbahnlogistik Vienenburg;ANU_VENS;ELV - Eisenbahnlogistik Vienenburg;1900100301060;Y;AUTO_COSMETIC;100.0;N;
RailCube/DataLake;Company name;Eisenbahngesellschaft Potsdam mbH;ANU_VENS;Eisenbahngesellschaft Potsdam mbH;1900100301078;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Ecco-rail GmbH;ANU_VENS;ecco rail GmbH;1900100301086;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;CER Cargo d.o.o.a;ANU_VENS;CER Cargo Traction GmbH;1900100301094;N;PROPOSED_MEDIUM;81.8;Y;
RailCube/DataLake;Company name;BBL Logistik GmbH;ANU_VENS;Schweerbau Logistik GmbH;1900100301101;N;PROPOSED_LOW;86.7;Y;
RailCube/DataLake;Company name;MZ Eisenbahndienstleistungen GmbH;ANU_VENS;Maik Ampft Eisenbahndienstleistungen;1900100301127;N;PROPOSED_HIGH;94.3;Y;
RailCube/DataLake;Company name;Bayerische CargoBahn GmbH;ANU_VENS;Bayerischer Localbahn Verein e.V.;1900100301135;N;PROPOSED_LOW;70.8;Y;
RailCube/DataLake;Company name;LINEAS NV;ANU_VENS;LINEAS NV/SA;1900100301143;N;REVIEW_LEGAL_MULTIPLE;99.0;Y;
RailCube/DataLake;Company name;Locon Logistik & Consulting AG;ANU_VENS;Locon Logistik & Consulting AG;1900100301151;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Inbetriebnahmegesellschaft Transporttechnik mbH;ANU_VENS;IGT - Inbetriebnahme Gesellschaft Transporttechnik GmbH;1900100301169;N;PROPOSED_HIGH;97.9;Y;
RailCube/DataLake;Company name;Saar Rail GmbH;ANU_VENS;Saar Rail GmbH;1900100301177;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Euro wagon;ANU_VENS;Thurbo AG;1900100301185;N;PROPOSED_LOW;63.2;Y;
RailCube/DataLake;Company name;Vulkan-Eifel-Bahn Betriebsgesellschaft mbH;ANU_VENS;Vulkan-Eifel-Bahn Betriebsgesellschaft mbH;1900100301193;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Nordlandrail GmbH;ANU_VENS;Nordlandrail GmbH;1900100301200;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;;ANU_VENS;Arbeitsgemeinschaft NostalgieZugReisen.de;1900100301218;N;NO_RELIABLE_CANDIDATE;53.3;Y;
RailCube/DataLake;Company name;DeltaRail GmbH;ANU_VENS;DeltaRail GmbH;1900100301226;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Georg Verkehrsorganisation GmbH;ANU_VENS;Georg Verkehrsorganisation GmbH;1900100301234;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;IntEgro Verkehr GmbH;ANU_VENS;IntEgro Verkehr GmbH;1900100301242;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Schienenfahrzeuge Export-Import Handelsgesellschaft mbH - SFH;ANU_VENS;Gesellschaft zur Erhaltung von Schienenfahrzeugen Stuttgart e.V.;1900100301250;N;PROPOSED_LOW;64.9;Y;
RailCube/DataLake;Company name;Siemens s.r.o.;ANU_VENS;Siemens AG;1900100301268;N;PROPOSED_MEDIUM;82.4;Y;
RailCube/DataLake;Company name;Salzburger Eisenbahn TransportLogistik GmbH;ANU_VENS;SETG - Salzburger Eisenbahn TransportLogistik GmbH;1900100301276;Y;AUTO_COSMETIC;100.0;N;
