run_id;loco_no;coverage_date;performing_rus;performing_ru_count;in_report_movement_rows;assignment_slot_count;assigned_minutes;relevant_gap_slot_count;unresolved_gap_minutes;overlap_slot_count;overlap_minutes;expected_scope_slot_count;coverage_pct;relevant_gap_rows;long_gap_rows;max_gap_minutes;error_findings;manual_review_findings;warning_findings;info_findings;finding_rule_ids;export_ready_movement_rows;not_export_ready_movement_rows;gate_status;gate_reason
RUN_20260607_181025;91806185680-6;2026-06-06;LTE DE - LTE Germany GmbH;1;11;73;1095;12;180;4;60;85;85.88;2;0;84;0;0;0;2;R010.5;0;11;BLOCKED;Overlap-Minuten=60 | Nicht exportfähige Movements=11 | Ungeklärte GAP-Minuten=180 | INFO-Findings=2
RUN_20260607_181025;91806186369-5;2026-06-06;LTE NL - LTE Netherlands B.V. | LTE CZ - LTE Czechia s.r.o.;2;4;26;390;16;240;1;15;42;61.9;2;0;185;0;0;0;3;R003, R010.5;0;4;BLOCKED;Overlap-Minuten=15 | Nicht exportfähige Movements=4 | Ungeklärte GAP-Minuten=240 | INFO-Findings=3
RUN_20260607_181025;91806186941-1;2026-06-06;LTE NL - LTE Netherlands B.V.;1;3;82;1230;0;0;1;15;82;100.0;0;0;0;0;0;0;1;R003;0;3;BLOCKED;Overlap-Minuten=15 | Nicht exportfähige Movements=3 | INFO-Findings=1
RUN_20260607_181025;91806186943-7;2026-06-06;LTE DE - LTE Germany GmbH;1;4;71;1065;0;0;1;15;71;100.0;0;0;0;0;0;0;1;R003;0;4;BLOCKED;Overlap-Minuten=15 | Nicht exportfähige Movements=4 | INFO-Findings=1
RUN_20260607_181025;91806189000-3;2026-06-06;DB Cargo Belgium;1;1;19;285;0;0;0;0;19;100.0;0;0;0;1;0;0;0;R012;0;1;BLOCKED;ERROR-Findings=1 | Nicht exportfähige Movements=1
RUN_20260607_181025;91806189201-7;2026-06-06;LTE NL - LTE Netherlands B.V.;1;4;47;705;25;375;1;15;72;65.28;1;0;359;0;0;0;2;R010.5, R003;0;4;BLOCKED;Overlap-Minuten=15 | Nicht exportfähige Movements=4 | Ungeklärte GAP-Minuten=375 | INFO-Findings=2
RUN_20260607_181025;91806189202-5;2026-06-06;LTE PL - LTE Polska Spółka z o.o. | LTE DE - LTE Germany GmbH;2;8;50;750;7;105;4;60;57;87.72;1;0;80;0;0;0;1;R010.5;0;8;BLOCKED;Overlap-Minuten=60 | Nicht exportfähige Movements=8 | Ungeklärte GAP-Minuten=105 | INFO-Findings=1
RUN_20260607_181025;91806192999-1;2026-06-06;LTE DE - LTE Germany GmbH;1;10;75;1125;0;0;6;90;75;100.0;0;0;0;0;0;0;0;"";0;10;BLOCKED;Overlap-Minuten=90 | Nicht exportfähige Movements=10
RUN_20260607_181025;91806193089-0;2026-06-06;LTE AT - LTE Austria GmbH | LTE DE - LTE Germany GmbH;2;3;49;735;12;180;2;30;61;80.33;1;0;164;0;0;0;1;R010.5;0;3;BLOCKED;Overlap-Minuten=30 | Nicht exportfähige Movements=3 | Ungeklärte GAP-Minuten=180 | INFO-Findings=1
RUN_20260607_181025;91806193221-9;2026-06-06;LTE CZ - LTE Czechia s.r.o.;1;1;21;315;4;60;0;0;25;84.0;1;0;181;0;0;0;0;"";0;1;BLOCKED;Nicht exportfähige Movements=1 | Ungeklärte GAP-Minuten=60
RUN_20260607_181025;91806193257-3;2026-06-06;LTE NL - LTE Netherlands B.V.;1;0;25;375;0;0;0;0;25;100.0;0;0;0;0;0;0;0;"";0;0;READY;""
RUN_20260607_181025;91806193260-7;2026-06-06;LTE NL - LTE Netherlands B.V.;1;1;20;300;56;840;0;0;76;26.32;1;1;830;1;0;0;0;R010;0;1;BLOCKED;ERROR-Findings=1 | GAPs über 8h=1 | Nicht exportfähige Movements=1 | Ungeklärte GAP-Minuten=840
RUN_20260607_181025;91806193262-3;2026-06-06;LTE NL - LTE Netherlands B.V.;1;1;26;390;26;390;0;0;52;50.0;1;0;458;0;0;0;0;"";0;1;BLOCKED;Nicht exportfähige Movements=1 | Ungeklärte GAP-Minuten=390
RUN_20260607_181025;91806193272-2;2026-06-06;LTE AT - LTE Austria GmbH | LTE DE - LTE Germany GmbH;2;2;74;1110;9;135;0;0;83;89.16;1;0;128;0;0;0;1;R010.5;0;2;BLOCKED;Nicht exportfähige Movements=2 | Ungeklärte GAP-Minuten=135 | INFO-Findings=1
RUN_20260607_181025;91806193280-5;2026-06-06;LTE NL - LTE Netherlands B.V.;1;3;29;435;15;225;1;15;44;65.91;2;0;258;0;0;0;1;R010.5;0;3;BLOCKED;Overlap-Minuten=15 | Nicht exportfähige Movements=3 | Ungeklärte GAP-Minuten=225 | INFO-Findings=1
